Description,Question,Equation,Input Numbers,Output
mike made number0 dollars mowing lawns over the summer . if he spent number1 dollars buying new mower blades,how many number2 dollar games could he buy with the money he had left ?,/ - number0 number1 number2,90 45 5,9.0
a pet store had number0 puppies . in number1 day they sold number2 of them and put the rest into cages with number3 in each cage .,how many cages did they use ?,/ - number0 number2 number3,45 1 39 2,3.0
faye picked number0 flowers for her friend 's wedding . she was making bouquets with number1 flowers in each one . if number2 of the flowers wilted before the wedding,how many bouquets could she still make ?,/ - number0 number2 number1,88 5 48,8.0
tom bought number0 tickets at the state fair . he spent number1 tickets at the 'dunk a clown ' booth and decided to use the rest on rides . if each ride cost number2 tickets,how many rides could he go on ?,/ - number0 number1 number2,63 14 7,7.0
roger had number0 dollars . if he spent number1 bucks on a new game,how many number2 dollar toys could he buy with the money he had left ?,/ - number0 number1 number2,63 48 3,5.0
roger is at the library helping put away books . there are number0 book to put away total but a librarian takes number1 of them and leaves roger with the rest . if he can fit number2 books on a shelf,how many shelves will he need ?,/ - number0 number1 number2,54 19 5,7.0
faye 's team won their baseball game and scored number0 points total . if faye scored number1 of the points and everyone else scored number2 points each,how many players were on her team ?,/ - number0 number1 number2,68 28 8,5.0
for halloween bianca received number0 pieces of candy . she ate number1 pieces then placed the rest into piles with number2 in each pile .,how many piles could she make ?,/ - number0 number1 number2,17 2 3,5.0
the cafeteria had number0 apples . for lunch they handed out number1 to students and decided to use the rest to make pies . if each pie takes number2 apples,how many pies could they make ?,/ - number0 number1 number2,51 41 5,2.0
jerry was selling his old games . he started out with number0 but sold number1 of them . he packed the rest up putting number2 games into each box .,how many boxes did he have to use ?,/ - number0 number1 number2,68 4 8,8.0
there are number0 students trying out for the school 's trivia teams . if number1 of them did n't get picked for the team and the rest were put into number2 groups,how many students would be in each group ?,/ - number0 number1 number2,58 28 5,6.0
a new building needed number0 windows . the builder had already installed number1 of them . if it takes number2 hours to install each window,how long will it take him to install the rest ?,* - number0 number1 number2,14 5 4,36.0
in a video game each enemy defeated gives you number0 points . if a level has number1 enemies total and you destroy all but number2 of them,how many points would you earn ?,* - number1 number2 number0,3 6 2,12.0
wendy earned number0 points for each bag of cans she recycled . if she had number1 bags but did n't recycle number2 of them,how many points would she have earned ?,* - number1 number2 number0,5 11 2,45.0
adam earned number0 dollars for each lawn he mowed . if he had number1 lawns to mow but forgot to mow number2 of them,how much money did he actually earn ?,* - number1 number2 number0,9 12 8,36.0
a magician was selling magic card decks for number0 dollars each . if he started with number1 decks and by the end of the day he had number2 left,how much money did he earn ?,* - number1 number2 number0,2 5 3,4.0
at lunch a waiter had number0 customers and number1 of them did n't leave a tip . if he got $ number2 each from the number3 who did tip,how much money did he earn ?,* - number0 number1 number2,10 5 3 1,15.0
a worksheet had number0 problems on it . if a teacher had number1 worksheets to grade and had already graded number2 of them,how many more problems does she have to grade ?,* - number1 number2 number0,4 9 5,16.0
dave had number0 video games but number1 of them were n't working . if he wanted to sell the working games for $ number2 each,how much money could he earn ?,* - number0 number1 number2,10 2 4,32.0
at a restaurant each adult meal costs $ number0 and kids eat free . if a group of number1 people came in and number2 were kids,how much would it cost for the group to eat ?,* - number1 number2 number0,8 11 2,72.0
at the fair kaleb bought number0 tickets . after riding the ferris wheel he had number1 tickets left . if each ticket cost number2 dollars,how much money did kaleb spend riding the ferris wheel ?,* - number0 number1 number2,6 3 9,27.0
sam invited number0 friends to a birthday party but number1 could n't come . if he wanted to buy enough cupcakes so each person could have exactly number2,how many should he buy ?,* - number0 number1 number2,9 6 2,6.0
anne had number0 sweettarts . if anne gave equal numbers of sweettarts to her number1 friends,how many sweettarts did each person eat ?,/ number0 number1,15 3,5.0
matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friends,how many crackers did each person eat ?,/ number0 number1,27 9,3.0
shirley sold number0 boxes of trefoils .,how many cases of number1 boxes does shirley need to deliver ?,/ number0 number1,54 6,9.0
billy had number0 lemon heads . if billy gave equal numbers of lemon heads to his number1 friends,how many lemon heads did each person eat ?,/ number0 number1,72 6,12.0
there are number0 pencils in frances 's pencil collection . if the pencils are organized into number1 groups,how big is each group ?,/ number0 number1,25 5,5.0
there are number0 eggs in margaret 's egg collection . if the eggs are organized into number1 groups,how big is each group ?,/ number0 number1,35 5,7.0
there are number0 students in the class and number1 skittles . if the skittles are divided equally among the students,how many does each student get ?,/ number1 number0,9 27,3.0
there are number0 bottle caps in terry 's bottle cap collection . if the bottle caps are organized into number1 groups,how big is each group ?,/ number0 number1,560 80,7.0
there are number0 marbles in phyllis 's marble collection . if the marbles are organized into number1 groups,how big is each group ?,/ number0 number1,64 32,2.0
lawrence has number0 marbles . if he shares them among number1 friends,how many marbles does each friend get ?,/ number0 number1,5504 64,86.0
peter wants to split a collection of pencils into groups of number0 peter has number1 pencils .,how many groups will be created ?,/ number1 number0,11 154,14.0
albert is inviting number0 friends to a party . he has number1 cookies .,how many cookies will each friend get ?,/ number1 number0,34 1802,53.0
there are number0 blocks in bridget 's block collection . if the blocks are organized into number1 groups,how big is each group ?,/ number0 number1,820 82,10.0
there are number0 bananas in philip 's banana collection . if the bananas are organized into number1 groups,how big is each group ?,/ number0 number1,407 11,37.0
